8|8|8|8|1|1|8|2|2|3|3|3|1|2|3|1|2|2|1|1|2|2|2|2|1|2|3|3|3|8|8|8|3|3|10002|10002|3|3|3|3|1|10002|10002|8|1|1|1|8|
8|8|8|8|8|1|8|2|3|3|10002|3|2|1|3|1|1|2|2|2|2|1|1|2|2|1|3|3|8|2|2|2|3|10002|10002|3|8|2|3|3|1|1|10002|8|1|1|8|8|
8|8|8|8|3|3|3|3|3|10002|8|3|3|3|3|3|3|3|2|1|1|2|1|3|3|8|8|3|3|3|2|3|3|8|3|3|8|2|3|3|3|3|10002|8|8|1|10002|10002|
8|8|8|8|2|2|3|3|10002|8|8|8|10002|3|1|10002|10002|3|3|3|3|3|3|3|8|8|8|8|8|3|3|3|10002|8|8|3|3|8|2|3|3|3|3|3|3|3|10002|10002|
8|1|1|3|3|3|8|3|3|8|10002|10002|3|3|1|1|10002|1|3|3|3|3|2|3|3|8|8|8|2|2|3|10002|10002|3|8|8|3|3|3|10002|10002|3|3|3|3|8|8|8|
8|8|1|3|8|3|3|3|3|10002|1|1|3|10002|10002|10002|10002|1|1|3|3|2|8|8|3|3|8|8|2|3|3|3|10002|3|3|8|8|3|3|10002|10002|3|1|8|8|8|3|3|
8|8|2|3|8|8|3|3|3|3|3|3|3|3|3|10002|1|10002|10002|10002|3|8|8|8|2|3|3|3|3|3|8|2|8|8|3|3|3|3|3|3|3|3|8|8|3|3|3|3|
8|2|2|3|8|8|3|3|3|3|3|3|3|3|3|1|1|1|10002|10002|3|3|8|2|2|3|3|3|3|8|2|2|3|3|10002|10002|3|3|3|3|10002|10002|8|3|3|8|8|3|
1|3|3|3|3|3|3|3|2|2|8|8|8|3|3|3|1|3|3|10002|3|3|3|3|3|3|3|3|3|3|3|3|3|2|3|10002|10002|3|3|3|3|3|3|3|3|8|8|3|
1|3|8|8|1|1|3|3|8|8|8|3|3|3|3|3|3|3|3|3|3|3|2|1|2|2|3|3|3|3|3|3|2|2|8|3|3|3|3|3|3|3|1|8|3|8|8|10002|
8|3|3|8|1|1|8|3|3|8|8|3|2|8|1|3|3|3|3|3|3|1|2|2|3|1|3|3|3|3|3|3|8|8|8|3|3|10002|8|8|3|3|8|8|8|8|10002|1|
3|3|3|8|8|8|8|8|3|8|3|3|8|8|8|8|2|2|3|3|2|2|1|3|3|3|3|3|3|3|3|3|8|3|3|3|3|10002|10002|1|8|3|3|8|8|1|10002|10002|
3|3|3|3|3|1|1|8|3|3|3|3|3|3|3|10002|3|8|3|3|2|2|3|3|3|3|3|3|3|2|3|3|3|3|8|1|3|3|10002|3|2|2|10002|3|3|3|10002|3|
2|2|3|3|3|3|3|3|3|3|3|3|10002|10002|10002|10002|3|3|3|3|3|3|3|3|3|3|3|10002|3|2|2|3|3|1|8|8|1|3|3|3|3|10002|10002|3|3|8|3|3|
2|1|3|3|3|3|3|3|3|3|3|3|3|10002|10002|10002|3|3|3|1|1|1|3|3|3|10002|10002|10002|3|3|2|2|3|1|2|2|1|3|3|3|3|3|3|3|3|3|3|1|
2|1|2|3|3|3|2|2|3|2|1|1|3|3|3|10002|10002|3|3|3|3|1|2|1|3|3|10002|10002|10002|3|3|3|3|3|3|2|8|3|3|3|3|3|3|3|3|3|1|1|
1|2|3|3|3|3|2|1|2|2|2|1|3|3|3|3|3|3|2|3|3|3|1|2|1|3|3|10002|10002|10002|3|3|3|3|3|3|3|3|3|2|3|10002|10002|3|3|1|1|1|
1|3|3|10002|3|3|3|3|3|3|3|3|2|3|3|3|2|2|2|3|3|3|3|1|1|1|3|3|10002|3|3|2|2|3|1|1|3|8|8|2|3|10002|10002|3|1|1|3|3|
3|3|10002|10002|10002|3|3|8|1|3|3|3|3|3|3|2|2|2|3|3|1|1|3|3|3|3|3|3|3|3|2|2|2|3|1|10002|10002|2|2|3|3|10002|10002|3|3|3|3|3|
3|3|10002|10002|3|3|3|8|1|10002|10002|3|3|2|3|3|3|3|3|3|1|1|3|3|3|3|1|3|3|3|2|3|3|3|3|10002|10002|10002|2|3|3|10002|10002|10002|3|3|3|3|
3|3|3|3|3|1|3|3|1|8|10002|3|3|2|2|3|3|3|3|1|10003|10003|10003|10003|10003|10003|10003|1|1|3|3|3|3|3|3|3|10002|3|3|3|3|3|3|3|1|2|2|3|
3|3|3|3|3|1|1|3|8|3|3|3|2|2|2|3|3|3|1|1|10003|10003|10003|10003|10003|10003|10003|10003|1|3|2|1|1|2|3|3|3|3|3|3|3|3|3|1|2|1|1|2|
3|8|3|3|8|8|8|3|3|3|3|2|2|2|3|3|3|3|1|1|10003|10003|10003|10003|10003|10003|10003|10003|3|3|1|2|2|1|3|3|3|3|10002|10002|3|3|3|2|2|1|2|2|
